,speech_id_long,speech_content,polarizing
13,19_15_11004093_2_p,"Der außenpolitische Vertreter, Herr Mützenich, unternahm den Versuch, dem entgegenzutreten, konnte jedoch keinen Erfolg verbuchen. Das Resultat, das nun vorliegt, wurde präsentiert und enthält zahlreiche Schlupflöcher. Es ist unbestreitbar, dass daran nichts beschönigt werden kann.",0
14,20_55_11005091_2_p,"Doch um das zu erreichen, benötigen wir eine stabile Wirtschaft – und genau die haben Sie ruiniert! Das ist das Resultat Ihrer Politik! Mit kühler Gleichgültigkeit verkünden Sie: „Die Unternehmensprognosen für die kommenden Monate sind überaus düster.“ Wenigstens haben die wachsenden Proteste Ihre Aufmerksamkeit erregt. Allerdings ignorieren Sie beharrlich alles, was Ihrer dogmatischen Klimapolitik widerspricht.",1
15,18_30_11003797_4_p,"Ihr Vortrag war schlichtweg langweilig und, was noch gravierender ist, voller Wissenslücken. Mit solch einer Darbietung werden Sie hier im Parlament sicherlich auf Granit beißen, da bin ich fest von überzeugt.",1
16,20_60_11004418_2_p,"Verehrte Damen und Herren, diese chaotische Situation hätten Sie uns ersparen können, wenn Sie im Sommer aktiv geworden wären. Doch Sie haben die Zeit vertrödelt. Stattdessen haben Sie sich durch den Sommer gezankt und die Gelegenheit verpasst, sich über wichtige Entlastungsmaßnahmen zu einigen.",1
17,18_171_11003848_2_p,"Heute wird die Erörterung dieses Antrags durch die Abstimmung über die Beschlussempfehlung beendet. Dennoch sind wir damit noch nicht zufrieden, weshalb ein weiterer Antrag gestellt wurde. Die Kollegen haben gerade erklärt, warum die bisherige Vorgehensweise unzureichend ist.",0
18,20_39_11004883_3,"Was nutzt denn ein 9‑Euro-Ticket, wenn der Zug oder der Bus gar nicht fährt oder überfüllt ist? Sie verbrennen das Geld der Bürger. Sie werfen eine Nebelkerze nach der anderen, und das lassen wir Ihnen nicht durchgehen, meine Damen und Herren.",1
19,20_76_11002046_0_p,"Sehr geehrte Frau Präsidentin! Sehr geehrte Abgeordnete! Das Bundeswirtschaftsministerium hat im Namen der Bundesregierung eine Arbeitsgruppe ins Leben gerufen, die für die Kooperation mit Brandenburg sowie mit Mecklenburg-Vorpommern und Sachsen-Anhalt zuständig ist. Diese Gruppe hat bereits mehrere Treffen abgehalten.",0
20,18_82_11003496_5,"Ich bin optimistisch, dass wir den wichtigen Gesetzentwurf dazu im Bundestag jetzt schnell abschließend beraten werden, und ich sage es auch ganz deutlich: Ich baue hier auch auf das Versprechen der Kanzlerin und das Versprechen dieser Koalition.",0
21,19_185_11003566_0,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Die Grünen mögen eins: alte Platten, die einen Sprung haben, und einen Blick in die Vergangenheit, damit sie ihre Feindbilder hochhalten können.",1
22,17_149_11004088_5_p,"Wir als Vertreter der linken politischen Richtung setzen uns für strategische und zukunftsorientierte Maßnahmen ein. Die Bewertung der Bundesregierung und der Koalition erfolgt durch uns anhand der Effektivität ihrer Maßnahmen, nicht aufgrund ihrer Äußerungen. Vielen Dank.",0
23,19_137_11003809_2,"der nimmt in Kauf, dass die, die viel haben – das mag Ihre Klientel sein –, sich jede Umweltverschmutzung leisten können, aber weite Teile der Bevölkerung können es sich eben nicht leisten. Das ist unsozial.",1
24,17_9_11003782_5,"Sie hatten sich auch den Arbeitnehmerdatenschutz auf die Fahne geschrieben. Nun weiß ich, dass das mit der Union nicht so einfach ist. Dennoch erlauben Sie mir eine Frage: Können Sie und werden Sie dem Innenministerium beim Arbeitnehmerdatenschutz die Stirn bieten, oder fallen Sie wie in dieser Woche beim SWIFTJosip Juratovic Abkommen um und verhindern damit einen effektiven Schutz der Grundrechte?",1
25,17_222_11003804_9,"weil wir festgestellt haben, Herr Kollege Zimmer, dass diese Bundesregierung den Eingliederungstitel so massiv zusammenstreicht, dass es keine echte Perspektive für eine Teilhabe mit sozialversicherungspflichtiger Beschäftigung gibt.",0
26,20_2_11004715_8,"Im Übrigen geht es selbstverständlich um Impfen, Impfen, Impfen. Aber eines ist auch klar – damit bin ich dann am Ende –: Wir brauchen Investitionen ins Gesundheitswesen, in Kitas, in Schulen, in die öffentliche Daseinsvorsorge insgesamt. Denn eine Gesellschaft, die nur auf Profit getrimmt ist, wird immer pandemieanfällig bleiben.",0
27,19_99_11003530_2,"Aber es geht doch in der Politik nicht um die Beschreibung. Obwohl weiterhin nicht privatisiert wird, obwohl weiterhin keine einheitliche Mehrwertsteuer in Griechenland existiert – das können auch Sie nicht bestreiten –,",0
28,20_166_11004443_2_p,"Die Rentenreformgesetze wurden über die Jahre wie süße Kirschen auf einen ohnehin schon unsicheren Kuchen voller finanzieller Tricksereien gehäuft, darunter auffällige Maßnahmen wie der 300-Euro-Grundrentenzuschlag oder die willkürlichen Anpassungen der Hinzuverdienstgrenze. Kein Wunder also, dass dieses fragwürdige Konstrukt irgendwann in sich zusammenbrach. Frau Hohmann, hätte ich von Ihnen nicht wenigstens ein Zeichen der Reue erwartet? Ein Eingeständnis dieses gewaltigen Missgriffs wäre das Mindeste gewesen.",1
29,17_75_11002123_6,"Den Initiativen gegen Rechtsextremismus Knüppel zwischen die Beine werfen und gleichzeitig unter dem Oberthema „Linksextremismus“ Vergnügungsreisen der Jungen Union finanzieren: Wenn so Ihre Extremismusprävention aussieht, dann sollten Sie aufhören.",1
30,19_125_11004659_4_p,"Es treibt mich zur Weißglut, dass ihr den Unternehmen jegliche Planungssicherheit raubt. Eure angebliche soziale Gerechtigkeit ist nichts weiter als eine Ausrede, um euren klimapolitischen Stillstand zu rechtfertigen. In Wirklichkeit tut ihr absolut nichts für mehr soziale Fairness.",1
31,19_188_11004678_2,"Der Ausgangspunkt für meine Nachfrage ist diese seit einigen Monaten laufende Phantomdebatte über die Streichung des Begriffs „Rasse“ aus dem Grundgesetz. Also ich halte schon den Ansatz bzw. die Überlegung, überhaupt darüber nachzudenken und das möglicherweise auch noch umzusetzen, nur weil ein Begriff gerade mal nicht in den rot-grünen Zeitgeist reinpasst, das Grundgesetz umzumodeln, für völligen Quatsch.",1
32,17_34_11002625_2_p,"Es wäre möglicherweise ratsam für Sie, die Geschichte Ihrer Organisation näher zu betrachten, bevor Sie versuchen, die katholische Kirche von Kritikpunkten zu entlasten. Meiner Einschätzung nach ist die Deutsche Bischofskonferenz in dieser Hinsicht deutlich fortgeschrittener als Sie, da sie aktiv die Vergangenheit aufarbeitet. Dieser Ansatz ist lobenswert, auch wenn nicht jeder Bischof den angemessenen Ton trifft.",0
33,19_69_11004885_2_p,"Sie halten sich mit Ihrem Antrag sehr strikt an die Aussagen Ihres Fraktionsvorsitzenden, der kürzlich in einem Interview erwähnte, dass die AfD-Fraktion kein klares Konzept für die Digitalisierung besitzt. Ihr Antrag folgt dieser Linie, meine Damen und Herren.",0
34,18_97_11003132_1_p,"Die Olympischen Spiele und Fußballweltmeisterschaften, jene globalen Bühnen für kollektiven Jubel und Spannung, sind von Machenschaften kontrolliert, die eigentlich auf der politischen Abschussliste stehen sollten. Das ist völlig untragbar. Wir müssen entschlossen handeln und diesen Missstand beseitigen.",1
35,20_95_11004182_14_p,"Die CDU/CSU sieht die Einbindung Deutschlands in europäische und NATO-Strukturen als einen essenziellen Bestandteil ihrer Identität. Man könnte sich erinnern, dass die Sozialdemokraten in den ersten Jahren der Bundesrepublik Schwierigkeiten hatten, diesen Kurs zu verfolgen. Erst mit dem Godesberger Programm erkannten sie, dass dieser Weg der richtige war. Es ist erfreulich, dass wir nun gemeinsam auf diesem Kurs sind.",0
36,17_243_11003246_2,"Auf das Ganze wollten Sie noch zusätzliche Schulden in Höhe von 6,5 Milliarden Euro setzen, um die Besserverdienenden, die oberen 20 Prozent in diesem Lande, zu entlasten. Das ist Ihre Politik, mit der Sie Schulden machen.",1
37,20_55_11005091_2,"Aber dazu braucht es eine funktionierende Wirtschaft, und die haben wir nicht mehr. Ergebnis Ihrer Politik! Ungerührt schreiben Sie: „Bereits jetzt sind die Geschäftserwartungen der Unternehmen für die nächsten Monate äußerst pessimistisch.“ Dank der zunehmenden Proteste haben Sie das wenigstens wahrgenommen. Aber da Sie nur sehr ungern etwas wahrnehmen, was Ihrer Klimaideologie im Wege steht,",1
38,17_78_11003702_1,"Sie reden in Ihrem Antrag, meine Kolleginnen und Kollegen von der Sozialdemokratie, nur über Einnahmen der Kommunen. Von den Ausgaben wollen Sie gar nicht so viel sprechen, weil die Ausgaben nämlich ein Problem sind, das Sie verursacht haben.",1
39,19_184_11000365_3_p,"Die hartnäckige und engstirnige Haltung, Reformen des Stabilitäts- und Wachstumspakts in einer Ratsarbeitsgruppe zu versenken, anstatt eine beherzte Neugestaltung der Schuldenregeln anzugehen, ist schlichtweg unverantwortlich. Die Schuldenbremse war, ist und wird weiterhin ein lähmendes Hindernis für jede Form wirtschaftlichen Aufschwungs sein.",1
40,20_95_11005050_4_p,"Das ist eine andere Methode, um mit Konflikten und Problemen umzugehen. Wenn etwas 'unseriös' ist, bedeutet das auch 'unglaubwürdig'. Liebe Grüne, mit Ihrer derzeitigen Politik büßen Sie im Eiltempo Ihre Glaubwürdigkeit als Vorreiter im Klimaschutz ein.",1
41,20_151_11004291_7_p,"Daher haben wir entschieden: Wir werden uns hier nicht in eine angreifbare Position bringen, sondern setzen auf unabhängige Empfehlungen. Unser Fokus liegt auf der Region, die ohnehin für Unstimmigkeiten bekannt ist, nämlich Augsburg. Hören Sie auf, die Menschen zu täuschen! Ihr einziges Interesse ist, Ihren eigenen Vorteil zu sichern.",1
42,18_66_11004265_2_p,"Im Hinblick auf den Koalitionsvertrag äußerte Frau Mast klar, dass die Ministerin über dessen Vorgaben hinausgegangen ist. Der Vertrag selbst, der für die aktuelle Diskussion relevant ist, besagt explizit, dass der Arbeitsmarkt derzeit eine außergewöhnlich hohe Aufnahmefähigkeit zeigt. Dies können wir sicherlich alle bestätigen und es bietet Möglichkeiten, die Langzeitarbeitslosigkeit effektiver zu bekämpfen.",0
43,19_48_11003746_5_p,"Es wäre wünschenswert, Herr Maas, wenn Sie der kriegslüsternen Frau von der Leyen Einhalt gebieten könnten, deren Aktionen nicht mehr als gefährliches Säbelrasseln und hetzerisches Kriegsgeschrei sind.",1
44,19_118_11004138_6,"Und da freue ich mich ausgesprochen, dass die FDP ihre bisherige Position überarbeitet hat und sich gegen eine Indexierung ausspricht. Wir haben einen umfangreichen Antrag erarbeitet, damit wir über diese zentralen Fragen breit diskutieren.",0
45,20_137_11004675_9_p,"Wenn sich unsere Regierung wirklich um die Interessen Deutschlands kümmern würde, gäbe es schon lange keine Notwendigkeit für Steuererhöhungen. Ohne die gescheiterte Eurorettung, die fragwürdigen Maßnahmen in der Pandemie, die chaotische Energiepolitik und die verfehlten gesellschaftlichen Ideologien wären wir nicht gezwungen, gesetzeswidrig Schulden anzuhäufen. Beginnen Sie endlich, Politik zu betreiben, die sich am Wohl unserer Nation orientiert und sich auf pragmatische Lösungen konzentriert! Vielen Dank.",1
46,19_71_11004793_5_p,"Geschätzte Anwesende, wir haben heute unsere Pläne zur Verbesserung der medizinischen Versorgung vorgestellt. Im Gegensatz dazu haben Sie dargelegt, wie Sie unser Gesundheitssystem in den Ruin treiben würden. Daher bin ich der Meinung, dass es klüger ist, solchen Ideen nicht zu folgen. Ich danke Ihnen fürs Zuhören.",1
47,20_112_11005115_1_p,"Unter keinen Umständen ist es meine Absicht, Islamismus oder irgendeine Art von Extremismus und Terrorismus zu beschönigen; das habe ich bereits in meiner Einleitung betont. Doch was Sie mit Ihrem Antrag bezwecken, ist nichts anderes als eine schamlose Ausnutzung des Islams für Ihre parteilichen Ziele, während Sie gleichzeitig den vorhandenen Vorurteilen gegenüber unseren muslimischen Mitbürgerinnen und Mitbürgern noch mehr Nahrung geben.",1
48,19_179_11004768_8_p,"Die Filmförderung in Hamburg Schleswig-Holstein hat bereits einen Schritt in eine fast diktatorische Richtung gemacht. Dort werden tatsächlich Fragen nach der gleichberechtigten Geschlechterdarstellung, der Präsenz von People of Color und der Einbeziehung von Charakteren aus benachteiligten sozialen Schichten gestellt. Meine Damen und Herren, auf diese Weise schafft man keine Kassenschlager des deutschen Kinos, sondern eine oberflächliche Mischung aus sozialem Pathos und Multikulti-Klischees.",1
49,17_109_11004192_2_p,"An die Mitglieder der Linken möchte ich klarstellen, dass ich keinen Anlass sehe, unsere derzeitige Wirtschafts- und Arbeitsmarktpolitik zu ändern oder eine neue Richtung einzuschlagen.",0
50,19_71_11004695_7_p,"Im Gegensatz zu Afrika und Indien verfügen wir nicht über kostbare natürliche Ressourcen wie Gold und Diamanten. Auch Erdöl, wie es Saudi-Arabien besitzt, ist bei uns nicht vorhanden. Was wir besitzen, sind unser Verstand, unsere Kreativität und unsere Produktivität.",0
51,20_83_11003246_2_p,"Die deutsch-amerikanischen und europäisch-amerikanischen Beziehungen profitieren erheblich von diesem Schritt. Um in Europa erfolgreiche Klimainitiativen etablieren zu können, braucht es die Unterstützung der USA durch deren eigene Klimaschutzmaßnahmen. Dies ist essenziell dafür, dass US-Firmen Zugang zum europäischen Markt erhalten. Unsere Zusammenarbeit mit den USA zielt darauf ab, gemeinsam eine kohlenstoffarme Wirtschaft zu fördern.",0
52,17_204_11004018_5_p,"Ein verstärktes Engagement Khartoums könnte denjenigen Gruppierungen, die das Doha-Abkommen bisher nicht unterzeichnet haben, verdeutlichen, dass die Regierung den Friedensprozess ernst nimmt. Meine Damen und Herren, werte Kolleginnen und Kollegen, meine Fraktion unterstützt dieses Mandat. An dieser Stelle möchte ich den Soldaten und Polizisten meinen aufrichtigen Dank aussprechen, die für die Umsetzung des Mandats verantwortlich sind.",0
53,20_51_11004659_5_p,"Es überrascht mich kein bisschen, Herr Dobrindt, dass Sie es heute vermeiden, ans Rednerpult zu treten. Als stolze Fränkin und Bayerin kann ich nur betonen: Diese ewige Lamentiererei, dieses unaufhörliche Nörgeln und das ständige Hinweisen auf Berlin als Sündenbock, das strapaziert meine Geduld aufs Äußerste. Zeigen Sie endlich den Mut, die Verantwortung für unser Land zu übernehmen!",1
54,19_141_11004894_0_p,"Herr Präsident, meine Damen und Herren Abgeordnete! Wir stehen vor der Situation, dass kein festes CO2-Limit vorhanden ist. Das vorgesehene System des nationalen Emissionshandels entspricht nicht wirklich seinen Namen, und jetzt werden 4,3 Milliarden Euro als Ausgleichszahlungen an Energiekonzerne für den beschlossenen Ausstieg aus der Kohle bereitgestellt. Sehr geehrte Damen und Herren, dieses Ergebnis spiegelt die Ansätze der aktuellen Regierung in ihrer klimapolitischen Strategie wider.",0
55,20_52_11004788_1,"Wir Sportsfreunde von der AfD werden insgesamt sieben Änderungsanträge vorlegen, vornehmlich, um die Trainer- und Athletenfinanzierung zu verbessern. Immer noch gehen in Deutschland beim Übergang von Schule zur Ausbildung und von der Ausbildung zum Beruf viel zu viele Talente verloren. Sport frei! Wir freuen uns auf die Beratung im Sportausschuss.",0
56,17_123_11003763_11_p,"Die heutige Diskussion hat gezeigt, dass Ihnen jegliches Verständnis für die Krisenbewältigung fehlt. Ihre Ahnungslosigkeit wird Europa ins Verderben stürzen. Die gegenwärtige Regierung beweist eindrucksvoll, dass sie nicht im Geringsten aus den vergangenen Krisen gelernt hat.",1
57,20_147_11004823_2_p,"Schon wieder ist Minister Özdemir auf seinem Kreuzzug, diesmal mit der Forderung nach höheren Fleischpreisen unter dem Vorwand, dass dies dem Tierwohl diene. Natürlich steht auch für mich das Wohl der Tiere an erster Stelle, das sei unbestritten. Aber wo sind die durchdachten Konzepte? Wer kann garantieren, dass das zusätzliche Geld tatsächlich den Bauern zugutekommt und das Leben der Tiere verbessert? Fehlanzeige! Kein durchdachter Plan, kein konkretes Vorgehen – doch die Zeche zahlt am Ende der Bürger. Es ist das alte Spiel: Kosten nach oben treiben, ohne die Probleme wirklich zu lösen.",1
58,19_102_11004692_2_p,"Wenn man sich hier hinstellt und das Banner des israelischen Schutzes hochhält, während man diesem unsinnigen Unterfangen folgt, und gleichzeitig Millionen von Euro an diejenigen fließen lässt, die Israels Feinde sind, dann ist das nichts anderes als blanke Heuchelei.",1
59,19_45_11004897_5_p,"Am Ende des Tages muss mehr als nur leeres Gerede stehen! Während Menschen direkt vor Ihrer Nase ums Leben kämpfen, greifen Sie zur populistischen Losungsparole. Doch eins sei klargestellt: Mit uns Linken gibt es das nicht! Dankeschön.",1
60,19_98_11003796_9_p,"Durch ihre zerstörerische Politik wird die Industrie in Deutschland, insbesondere die energieintensive Branche, Schritt für Schritt aus dem Land gedrängt. Glücklicherweise halten wir noch die Stellung. Deshalb fehlt Ihnen die Fähigkeit, irgendwo eigenständig zu regieren, was definitiv nicht schlecht ist.",1
61,19_144_11004791_10_p,"Es ist grotesk und scheinheilig, dass Deutschland glaubt, moralisch erhaben dazustehen, indem es seine Atom- und Kohlekraftwerke abschaltet, während gleichzeitig Energie aus solchen Quellen aus dem Ausland eingekauft wird. Seit 2008 hat sich die Faktenlage im Grunde nicht geändert.",1
62,18_128_11004422_6_p,"Der sogenannte Flüchtlingsgipfel hat nicht die erwarteten Ergebnisse erzielt. Anstatt eine ausgewogene und gerechte Politik zur Aufnahme von Flüchtlingen zu fördern, verfolgt Deutschland weiterhin eine Strategie der Abschreckung. Es werden Unterschiede zwischen Asylsuchenden gemacht, indem man sie als nützliche Fachkräfte oder weniger willkommen einstuft, und zusätzlich sind noch weitere abschreckende Maßnahmen vorgesehen.",0
63,19_18_11004048_8_p,"Es fällt mir auf, dass hier eine gewisse Doppelmoral im Raum steht, die ich gerne ansprechen möchte. Herr Pflüger, Sie bekleiden die Position des stellvertretenden Parteivorsitzenden und sind als Sprecher für Verteidigungspolitik bei den Linken tätig. Vor einiger Zeit plädierten Sie gemeinsam mit Frau Buchholz in einem Beitrag der „Jungen Welt“ für die vollständige Auflösung der Bundeswehr.",0
64,17_63_11003168_5_p,"Ich wage die Vorhersage: Der Plan der Landesregierung wird in Trümmern enden, wenn sie mit brachialer Macht das Bauvorhaben den Bürgern aufzwingt. Der Bundestag hat die Pflicht, das Gespräch über die Zukunft der Bahn zu führen. Jegliche Form von Denk- und Redetabus ist inakzeptabel, denn genau diese Tabus haben uns in die derzeitige Krise gestürzt.",1
65,20_86_11004669_3_p,"Man sieht den enormen Wert dieser Daten daran, dass Google einst erwog, den Nutzern Gratisstrom im Tausch gegen ihre Daten zu bieten. Die Regierung verspricht, dass Smart Meter die Stromrechnungen senken und das Netz stabilisieren. Doch was wirklich passiert, ist, dass die misslungene Energiewende gescheiterter Politiker mal wieder den Bürgern aufgehalst wird.",1
66,19_149_11004182_2_p,"– Dass das Ihre einzige Antwort darauf ist – während Mitglieder Ihrer Fraktion weiterhin mit diesem verabscheuungswürdigen und unmenschlichen Regime verkehren –, spricht Bände – Mitglieder der AfD-Fraktion hier.",1
67,19_7_11004243_3_p,"Es ist schwer zu wissen, welche Ansichten Sie über die große Anzahl an Menschen hegen. Zwar kann ich darlegen, wie ich das deutsche Volk wahrnehme, doch die wesentliche Frage ist eigentlich, wie Ihre Meinung zu jenen Personen ist, die mit einem Migrationshintergrund in unserem Land wohnen. Ich habe den Eindruck, dass Sie diese Gruppe nicht im Blick haben, wenn Sie über das deutsche Volk sprechen.",0
68,19_72_11004768_10_p,"Ein Werk des scharfsinnigen Analytikers Rolf Peter Sieferle, das zuvor die Spitzenposition der „Spiegel“-Bestsellerliste zierte, wird abrupt entfernt, da es den Vorstellungen der linksliberalen Denkweise widerspricht.",1
69,20_71_11004781_1_p,"Entscheidung auf Entscheidung führt ins Desaster und stürzt Firmen und Menschen ins absolute Chaos. Ihre Antwort darauf? Ein Schuldenrausch in gigantischem Ausmaß, der zukünftige Generationen mit einem schweren Kater hinterlässt, Herr Lindner. Anstatt echte Lösungen zu finden, überhäufen Sie das Land mit endlosen Krediten.",1
70,17_237_11003132_6_p,"Ich möchte darauf hinweisen, wie die Lage wirklich aussieht: In Deutschland gibt es 6,8 Millionen Personen, die für weniger als 8,50 Euro pro Stunde tätig sind. Diese Beschäftigten müssen oft zusätzlich finanzielle Unterstützung in Anspruch nehmen.",0
71,19_121_11004731_7_p,"Aber – wie bereits demonstriert – scheitern Sie kläglich schon am Solidaritätszuschlag. Welch ein Jammer und welch eine Posse! Sehr geehrte Damen und Herren, es steht unumstößlich fest: Diese Regierung kann seit Jahren mit einem immer größeren Steuervorrat prahlen,",1
72,19_83_11004767_4_p,"Eine Wahl gilt als gleichberechtigt, wenn alle Bürger das gleiche Recht haben, sowohl ihre Stimme abzugeben als auch selbst zu kandidieren. Wird bei einer Wahl hingegen gesetzlich zwischen verschiedenen Bürgergruppen unterschieden, fehlt es an Gleichheit.",0
73,17_134_11003210_4_p,"Damals wurde uns oft nachgesagt, wir stünden der Technologie ablehnend gegenüber und würden die Gefahren übermäßig hervorheben. Es freut mich, dass Sie nun ebenfalls die Perspektive erweitert haben und wir sowohl die positiven als auch die negativen Aspekte gemeinsam betrachten können. Dies ist ein vielversprechender Ansatz.",0
74,18_44_11003608_2_p,"Wir mögen uns in einem Punkt einig sein, doch die Vorstellung, dass wir dafür tief in die Tasche greifen müssen, wie es die Linken und Grünen wieder einmal lautstark verlangen, ist höchst umstritten. Herr Krischer, vorhin sind Sie mit Ihrem wahren Gesicht hervorgetreten. Sie haben uns beschuldigt, als ob wir die Zukunft der erneuerbaren Energien hier mutwillig sabotieren würden.",1
75,19_15_11004093_2,"Ihr Außenpolitiker Herr Mützenich hat versucht, dagegenzuhalten. Er konnte sich nicht durchsetzen. Und dann kam das Ergebnis heraus, das wir jetzt haben. Es enthält so viele Hintertüren; das können Sie hier nicht schönreden.",0
76,20_79_11005039_2_p,"Die Ergebnisse des Eurobarometers sind ermutigend. Der Umfrage zufolge nutzen weiterhin 81 Prozent der Teilnehmer täglich das Fernsehen, um sich zu informieren, wobei 77 Prozent es sogar als ihre wichtigste Informationsquelle betrachten. Das Radio wird von 46 Prozent der Befragten genutzt, wobei 40 Prozent von ihnen es als ihre primäre Informationsquelle ansehen.",0
77,19_150_11004802_2_p,"Ich habe mit großem Respekt den Beiträgen von Herrn Djir-Sarai und anderen gelauscht. Doch wenn die FDP hier eine Aktuelle Stunde initiiert, sollten sie konsequenterweise auch eine Sitzung zum Thema Thüringen und dem Fall Kemmerich in Betracht ziehen.",0
78,18_97_11004145_5_p,"Untersuchungen im Zusammenhang mit AMISON heben die Problematik der Entstehung homogener Clanstrukturen hervor. Ohne vorhandene Kasernen errichten die Milizen ihre Unterkünfte eigenständig in der Umgebung. Von rund 4.800 ausgebildeten Mitgliedern sind lediglich etwa 1.600 in organisierten Einheiten untergebracht. Die restlichen Kräfte residieren überwiegend in ihren Privathäusern, was die Bundesregierung in ihrer Antwort auf eine Anfrage meiner Kollegin Brugger relativ leichtfertig dargestellt hat.",0
